Brand Token,Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
b_c5ad8a80,Boredwalk,5.0,32,100.0,100.0,100.0,True,False,False,False,False,True,False,14,11
b_nkdjeshhud,Wicked Clothes,4.5,2,100.0,100.0,100.0,False,False,False,False,False,False,False,7,4
b_e509rwcu,kaeraz,5.0,49,150.0,150.0,100.0,False,False,False,False,False,True,False,7,4
b_3um1o2nng0,LULUSIMONSTUDIO,4.7,27,150.0,150.0,75.0,False,False,True,False,False,True,False,10,8
b_2fbf738jrd,femfetti,4.8,148,100.0,100.0,75.0,True,False,True,False,False,False,False,6,2
b_c9wh61ek4q,Sweetees Apparel,4.9,51,150.0,150.0,100.0,True,False,False,False,False,False,False,8,2
b_1xd9ogml,Parks Project,5.0,5,150.0,150.0,150.0,True,True,False,False,False,False,False,10,8
b_1fde63bb,Knock Knock,5.0,177,200.0,200.0,100.0,True,False,False,False,False,False,False,7,4
b_8nl82cwgil,Unemployed Philosophers Guild,4.9,337,200.0,200.0,150.0,True,False,False,False,False,False,False,7,4
b_e500ab48,The Mincing Mockingbird,5.0,267,100.0,100.0,150.0,False,False,False,False,False,True,False,7,4
b_5sdyzc06fd,TableTopics,4.0,3,150.0,150.0,150.0,True,False,False,False,False,False,False,10,8
b_6usanratk0,Thought Catalog,5.0,352,0.0,0.0,0.0,True,False,False,False,False,False,False,3,1
b_bbhyb30wja,Peter Pauper Press,4.9,180,200.0,200.0,150.0,True,False,False,False,False,False,False,7,4
b_elwnrzazbf,Microcosm Publishing & Distribution,4.9,1094,150.0,150.0,100.0,True,False,False,False,False,True,False,14,11
b_5234b7da,Best Self Co.,5.0,2,200.0,200.0,200.0,True,True,False,False,False,True,False,3,1
b_beawmxuvtn,Betterday Studio,5.0,4,206.9,206.9,137.93,True,False,False,False,False,False,False,3,1
b_25hcfkuxqg,Switch Research,5.0,15,0.0,0.0,0.0,False,False,False,False,False,False,False,3,1
b_48n2knwtup,Notcoy,0.0,0,150.0,150.0,100.0,True,True,False,False,False,True,False,7,4
b_19ve7j7a7y,Intelligent Change,4.6,32,100.0,100.0,100.0,True,True,False,False,False,False,False,7,4
b_9v1ajbig,Lumitory,4.9,13,150.0,150.0,150.0,False,False,True,False,False,True,False,3,1
b_ustu6pbp75,Blush And Gold,5.0,199,115.0,115.0,115.0,False,True,False,False,False,True,False,10,8
b_3e402cd2,1canoe2 | One Canoe Two Paper Co.,4.9,274,100.0,100.0,75.0,True,False,False,False,False,True,False,7,4
b_7ghx5bab,Wit & Delight,4.9,62,150.0,150.0,150.0,True,False,False,False,False,True,False,10,8
