tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_264c9f3wqy,NEW_ORDER,PROCESSING,FULFILLED,ELEVATE,1728930593000,True,True,r_31rkt1g4w0,139343,Re-Up Refills,http://reuprefills.org,,False
bo_5deq3xcmze,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1728395111000,True,True,r_a1c8knjlx3,14730,The Pantry,http://www.thepantryct.com/,,False
bo_e5v94b9r3w,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1728050084000,True,True,r_dpxa41t5,28954,Reusables and More,https://reusablesandmore.com,General or Mercantile Store,True
bo_qnnf3k4zkw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1727814922000,True,True,r_xwc29snsaz,17902,SoulSisters Spa,http://soulsistersspa.com/,Spa or Beauty Store,True
bo_srjm7362ha,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1726627321000,True,True,r_ms8myyyuzh,11756,Poppy Cafe & Market,http://poppyvt.com/,Cafe or Restaurant,False
bo_w47xbm6q9f,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1725215540000,True,True,r_p6h6jzhpft,9031,East Kennedy,http://www.eastkennedy.com/,,True
bo_ygphaak8ee,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1721850357000,True,True,r_3p1glewhey,10478,Red River Refillery,,,False
bo_m36qx7qxfn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1721837757000,True,True,r_urkdgvqazj,21985,Eco Inspired,http://www.livingecoinspired.com/,General or Mercantile Store,False
bo_hhhmx4frdk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1721325951000,True,True,r_g3ezuy4vz3,30490,Aron's Pharmacy,https://maps.google.com/?cid=11169867616886837756,,False
bo_d9xmqjayy5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720470514000,True,True,r_qq7cbgms38,22610,Divine Healing,http://www.thedivinehealingcolonics.com/,,False
bo_mc2cjefsxk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720034443000,True,True,r_2hdd43erwx,11756,KmB Studio- Kimberly Broderick,http://www.vagaro.com/KmBstudio,,False
bo_32cbwg2s6m,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1719526666000,True,True,r_diuedbi3kd,23998,GALLERIE NOIR,http://www.gallerienoir.com/,Furniture Store,False
bo_7gq6m4f755,SPLIT_ORDER,DELIVERED,FULFILLED,MARKETPLACE_PAID_PLACEMENT,1719526666000,True,True,r_diuedbi3kd,6314,GALLERIE NOIR,http://www.gallerienoir.com/,Furniture Store,False
bo_b5ggt4ca3s,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719348153000,True,True,r_dje1hu8y,37329,New World Water,https://maps.google.com/?cid=8322213729247958931,,False
